City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Shawnee,US,86.0,clear sky,39.05,-95.77,Fairfield Inn by Marriott Topeka
2,Avarua,CK,77.0,few clouds,-21.21,-159.78,Paradise Inn
4,Hasaki,JP,75.0,few clouds,35.73,140.83,Inubosaki Kanko Hotel
6,Grand Baie,MU,72.0,clear sky,-20.02,57.58,Canonnier Beachcomber Golf Resort & Spa
7,Ko Samui,TH,83.17,overcast clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
8,Souillac,MU,69.8,broken clouds,-20.52,57.52,Bils' Villa
9,Colon,PA,81.0,moderate rain,9.36,-79.9,Sand Diamond Hotel
10,Vaini,TO,73.4,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
11,Jamestown,US,77.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
12,Les Cayes,HT,85.53,overcast clouds,18.2,-73.75,Villa Orphee
14,Butaritari,KI,82.74,overcast clouds,3.07,172.79,Isles Sunset Lodge
16,Morondava,MG,73.11,clear sky,-20.28,44.28,La Case Bambou
19,Juba,SS,71.8,moderate rain,4.85,31.58,ROYAL PALACE HOTEL - JUBA
20,Kendari,ID,71.2,few clouds,-3.94,122.5,Hotel Wixel
23,Tibati,CM,66.63,moderate rain,6.47,12.63,Tibati Hotel
24,Rikitea,PF,67.37,overcast clouds,-23.12,-134.97,Pension Maro'i
25,Karratha,AU,67.8,clear sky,-20.74,116.85,ibis Styles Karratha
28,Ribeira Grande,PT,73.4,shower rain,38.52,-28.7,Quinta da Meia Eira
29,Toyooka,JP,77.09,scattered clouds,35.53,134.83,O Hotel Toyooka
36,Hebron,PS,66.99,clear sky,31.53,35.1,Laverda Group
37,Hilo,US,77.0,light rain,19.73,-155.09,Hilo Hawaiian Hotel
39,Kerema,PG,75.02,broken clouds,-7.96,145.78,Elore Lodge
40,Atuona,PF,78.22,light rain,-9.8,-139.03,Villa Enata
44,Mocuba,MZ,66.43,few clouds,-16.84,36.99,Phama Lodge
45,Yurimaguas,PE,82.78,moderate rain,-5.9,-76.08,Rio Huallaga Hotel & Business Center
48,Margate,GB,69.01,few clouds,51.38,1.39,Premier Inn Margate hotel
54,Thompson,CA,78.8,scattered clouds,55.74,-97.86,Burntwood Hotel
59,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
60,Bac Lieu,VN,79.3,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
