City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sri Aman,MY,2020-08-18 21:37:10,1.24,111.46,75.2,94,98,2.28
1,Hermanus,ZA,2020-08-18 21:36:04,-34.42,19.23,41.0,93,63,6.42
2,Geraldton,AU,2020-08-18 21:39:58,-28.77,114.6,48.2,93,40,9.17
3,Souillac,MU,2020-08-18 21:39:58,-20.52,57.52,71.6,73,40,11.41
4,Hofn,IS,2020-08-18 21:39:59,64.25,-15.21,50.09,86,97,17.29
5,Evanston,US,2020-08-18 21:39:59,42.04,-87.69,77.0,41,40,12.75
6,Rikitea,PF,2020-08-18 21:39:59,-23.12,-134.97,71.94,78,0,10.4
7,Kimparana,ML,2020-08-18 21:39:59,12.83,-4.92,82.27,69,46,4.54
8,Springbok,ZA,2020-08-18 21:40:00,-29.66,17.89,37.89,78,95,3.65
9,Ushuaia,AR,2020-08-18 21:40:00,-54.8,-68.3,33.8,91,90,26.4
10,Saint-Philippe,RE,2020-08-18 21:36:11,-21.36,55.77,66.2,72,43,3.36
11,Hithadhoo,MV,2020-08-18 21:40:00,-0.6,73.08,83.79,75,1,10.04
12,Khatanga,RU,2020-08-18 21:40:00,71.97,102.5,48.72,68,44,13.38
13,Vaini,TO,2020-08-18 21:40:01,-21.2,-175.2,73.4,100,90,16.11
14,Touros,BR,2020-08-18 21:36:02,-5.2,-35.46,75.2,88,40,9.17
15,Kapaa,US,2020-08-18 21:36:05,22.08,-159.32,86.0,62,75,14.99
16,Constitucion,CL,2020-08-18 21:40:01,-35.33,-72.42,50.36,74,96,10.85
17,Saint Anthony,US,2020-08-18 21:40:02,45.02,-93.22,82.0,41,1,5.82
18,Barrow,US,2020-08-18 21:35:02,71.29,-156.79,51.8,87,75,16.11
19,Bredasdorp,ZA,2020-08-18 21:40:02,-34.53,20.04,46.4,81,66,5.82
20,Zelenogorskiy,RU,2020-08-18 21:40:03,55.03,87.0,55.4,93,40,4.47
21,Chuy,UY,2020-08-18 21:40:03,-33.7,-53.46,53.06,91,0,4.88
22,Bambous Virieux,MU,2020-08-18 21:40:03,-20.34,57.76,72.0,73,40,11.41
23,Horsham,GB,2020-08-18 21:40:03,51.06,-0.33,64.4,88,20,5.82
