City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Okhotsk,RU,59.38,143.3,51.62,73,100,8.01,overcast clouds
1,Shawnee,US,39.05,-95.77,86.0,39,1,4.7,clear sky
2,Avarua,CK,-21.21,-159.78,77.0,83,15,24.16,few clouds
3,Aykhal,RU,66.0,111.5,46.4,65,58,4.47,broken clouds
4,Hasaki,JP,35.73,140.83,75.0,100,20,2.24,few clouds
5,Tiksi,RU,71.69,128.87,39.58,90,100,10.67,overcast clouds
6,Grand Baie,MU,-20.02,57.58,72.0,62,0,3.0,clear sky
7,Ko Samui,TH,9.54,99.94,83.17,72,94,7.81,overcast clouds
8,Souillac,MU,-20.52,57.52,69.8,77,75,9.17,broken clouds
9,Colon,PA,9.36,-79.9,81.0,83,97,8.01,moderate rain
10,Vaini,TO,-21.2,-175.2,73.4,94,90,5.82,light intensity drizzle
11,Jamestown,US,42.1,-79.24,77.0,46,1,5.82,clear sky
12,Les Cayes,HT,18.2,-73.75,85.53,71,85,10.25,overcast clouds
13,Walvis Bay,NA,-22.96,14.51,68.0,10,0,11.41,clear sky
14,Butaritari,KI,3.07,172.79,82.74,72,100,9.82,overcast clouds
15,Cape Town,ZA,-33.93,18.42,57.0,93,20,4.7,fog
16,Morondava,MG,-20.28,44.28,73.11,78,0,13.02,clear sky
17,Qaanaaq,GL,77.48,-69.36,45.18,82,100,5.97,overcast clouds
18,Konstantinovka,RU,49.62,127.98,54.36,75,0,10.22,clear sky
19,Juba,SS,4.85,31.58,71.8,93,98,3.62,moderate rain
20,Kendari,ID,-3.94,122.5,71.2,88,20,2.26,few clouds
21,Busselton,AU,-33.65,115.33,39.99,84,0,6.55,clear sky
22,Kohtla-Jarve,EE,59.4,27.27,62.82,73,90,3.4,overcast clouds
23,Tibati,CM,6.47,12.63,66.63,98,100,1.23,moderate rain
24,Rikitea,PF,-23.12,-134.97,67.37,81,100,24.63,overcast clouds
25,Karratha,AU,-20.74,116.85,67.8,39,1,5.95,clear sky
26,Jacareacanga,BR,-6.22,-57.75,98.85,23,1,1.61,clear sky
27,Saldanha,ZA,-33.01,17.94,55.4,82,38,3.36,scattered clouds
28,Ribeira Grande,PT,38.52,-28.7,73.4,78,75,19.46,shower rain
29,Toyooka,JP,35.53,134.83,77.09,82,38,1.79,scattered clouds
30,Uvat,RU,59.14,68.9,50.68,95,60,4.92,broken clouds
31,Helong,CN,42.54,129.0,57.88,88,100,1.19,overcast clouds
32,Bredasdorp,ZA,-34.53,20.04,53.6,93,37,3.36,scattered clouds
33,Yar-Sale,RU,66.83,70.83,53.82,94,100,7.09,overcast clouds
34,Tuktoyaktuk,CA,69.45,-133.04,53.6,76,40,11.41,scattered clouds
35,New Norfolk,AU,-42.78,147.06,39.99,91,93,4.05,overcast clouds
36,Hebron,PS,31.53,35.1,66.99,41,0,2.01,clear sky
37,Hilo,US,19.73,-155.09,77.0,88,90,5.82,light rain
38,Port Alfred,ZA,-33.59,26.89,59.92,78,100,14.07,light rain
39,Kerema,PG,-7.96,145.78,75.02,87,56,4.16,broken clouds
40,Atuona,PF,-9.8,-139.03,78.22,77,56,17.38,light rain
41,Ialibu,PG,-6.28,143.99,53.17,84,36,3.58,scattered clouds
42,Barrow,US,71.29,-156.79,42.8,93,90,4.7,mist
43,Te Anau,NZ,-45.42,167.72,46.22,86,100,1.01,overcast clouds
44,Mocuba,MZ,-16.84,36.99,66.43,96,17,1.61,few clouds
45,Yurimaguas,PE,-5.9,-76.08,82.78,79,95,4.21,moderate rain
